varietal,count(*)
"Cabernet Sauvignon",7811
"Pinot Noir",6737
"Bordeaux Red Blends",6706
Syrah/Shiraz,4189
"Other Red Blends",3249
"Rhone Red Blends",2731
Sangiovese,2627
Nebbiolo,1976
Merlot,1478
Zinfandel,1357
Tempranillo,1317
Malbec,1156
Grenache,551
"Tuscan Blends",441
"Other Red Wine",338
Gamay,310
Barbera,295
"Cabernet Franc",277
"Petite Sirah",258
Carmenere,174
Mourvedre,149
"Nero d'Avola",119
Aglianico,110
Dolcetto,101
Mencia,79
Montepulciano,57
Carignan,43
Pinotage,43
Bonarda,41
Primitivo,40
"Touriga Nacional",33
Negroamaro,31
Corvina,26
"Petit Verdot",21
Blaufrankisch,13
Cinsault,11
Tannat,11
Lagrein,10
"Pinot Meunier",3
Valdiguie,2
Zweigelt,2
Lambrusco,1
